country,capital,latitude,longitude,capital-population,area,country-population-1960,country-population-2021
Greece,Athínai (Athens),37.9534,23.749,3155600,128900,8331725,10641221
Greenland,Nuuk (Godthåb),64.1835,-51.7216,18406,410450,32500,56653
Grenada,St.George's,12.0564,-61.7485,39297,340,93772,124610
Guadeloupe,Basse-Terre,15.9985,-61.7255,58397,1628,275161,400124
Guam,Hagåtña,13.4757,144.7489,146905,540,72374,170534
Guatemala,Ciudad de Guatemala (Guatemala City),14.6127,-90.5307,2851104,107160,4128880,17109746
Guinea,Conakry,9.5716,-13.6476,1843121,245720,3516814,13531906
Guinea-Bissau,Bissau,11.8636,-15.5977,558399,28120,577933,2060721
Guyana,Georgetown,6.8045,-58.1553,109934,196850,571990,804567
Haiti,Port-au-Prince,18.5392,-72.335,2636763,27560,3901139,11447569
Holy See,Vatican City,41.9024,12.4533,801,0.49,918,518
Honduras,Tegucigalpa,14.0818,-87.2068,1363041,111890,2078617,10278345
Hungary,Budapest,47.498,19.0399,1759497,91260,9983967,9709891
Iceland,Reykjavík,64.1355,-21.8954,216364,100830,175574,372520
India,Delhi,28.6667,77.2167,28513682,2973190,445954579,1407563842
Indonesia,Jakarta,-6.2118,106.8416,10516927,1877519,88382881,273753191
Iran,Tehran,35.6944,51.4215,8895947,1628760,21388806,87923432
Iraq,Baghdad,33.3406,44.4009,6811955,434128,7084678,43533592
Ireland,Dublin,53.3331,-6.2489,1201426,68890,2828600,5033165
Isle of Man,Douglas,54.15,-4.4833,27171,570,48793,84263
Israel,Jerusalem,31.769,35.2163,907062,21640,2114020,9364000
Italy,Roma (Rome),41.8947,12.4811,4209710,297730,50199700,59109668
Jamaica,Kingston,17.997,-76.7936,589083,10830,1642331,2827695
Japan,Tokyo,35.6895,139.6917,37468302,364500,93216000,125681593
Jordan,Amman,31.9552,35.945,2064582,88780,847936,11148278
Kazakhstan,Astana,51.1801,71.446,1068113,2699700,9319283,19000988
Kenya,Nairobi,-1.2833,36.8167,4385853,569140,7751435,53005614
Kiribati,Tarawa,1.3272,172.9813,64011,810,47093,128874
Kuwait,Al Kuwayt (Kuwait City),29.3697,47.9783,2989270,17820,305415,4250114
Kyrgyzstan,Bishkek,42.87,74.59,996319,191800,2172300,6691800
Laos,Vientiane,17.9667,102.6,664754,230800,2122532,7425057
Latvia,Riga,56.946,24.1059,637089,62090,2120979,1884490
Lebanon,Bayrut (Beirut),33.9,35.4833,2385271,10230,1798092,5592631
Lesotho,Maseru,-29.3167,27.4833,201851,30360,737838,2281454
Liberia,Monrovia,6.3005,-10.7969,1418300,96320,1137026,5193416
Libya,Tarabulus (Tripoli),32.8752,13.1875,1157746,1759540,1426986,6735277
Liechtenstein,Vaduz,47.1415,9.5215,5470,160,16472,39039
Lithuania,Vilnius,54.6892,25.2798,536055,62630,2778550,2800839
Luxembourg,Luxembourg,49.6117,6.13,119752,2430,313970,640064
Madagascar,Antananarivo,-18.9137,47.5361,3058387,581800,5073342,28915653
Malawi,Lilongwe,-13.9669,33.7873,1029639,94280,3621081,19889742
Malaysia,Kuala Lumpur,3.1412,101.6865,7563912,328550,7833782,33573874
Maldives,Male,4.1748,73.5089,176851,300,91650,521457
Mali,Bamako,12.65,-8,2446749,1220190,5346792,21904983
Malta,Valletta,35.8997,14.5147,212768,320,326550,518536
Marshall Islands,Majuro,7.0897,171.3803,30661,180,15374,42050
Martinique,Fort-de-France,14.6089,-61.0733,79361,1128,245675,375265
Mauritania,Nouakchott,18.0858,-15.9785,1205414,1030700,838478,4614974
Mauritius,Port Louis,-20.1619,57.4989,149365,2030,676683,1266060
Mayotte,Mamoudzou,-12.7794,45.2272,6180,374,24015,272815
Mexico,Ciudad de México (Mexico City),19.4273,-99.1419,21580827,1943950,36268055,126705138
Micronesia,Palikir,6.9174,158.1588,6996,700,42986,113131
Monaco,Monaco,43.7333,7.4167,38897,2.02699995040894,21797,36686
Mongolia,Ulaanbaatar,47.9077,106.8832,1520381,1557255,977903,3347782
Montenegro,Podgorica,42.4411,19.2636,177177,13450,480579,619211
Montserrat,Brades Estate,16.7918,-62.2106,472,11,11957,4992
Morocco,Rabat,34.0133,-6.8326,1846661,446300,11769774,37076584
Mozambique,Maputo,-25.9653,32.5892,1101771,786380,6788375,32077072
Myanmar,Nay Pyi Taw,19.745,96.1297,500218,652790,21720697,53798084
Namibia,Windhoek,-22.5594,17.0832,404280,823290,590181,2530151
Nauru,Nauru,-0.5308,166.9112,11312,20,4582,12511
Nepal,Kathmandu,27.7017,85.3206,1329732,143350,10167941,30034989
Netherlands,Amsterdam,52.374,4.8897,1131690,33670,11486631,17533044
New Caledonia,Nouméa,-22.2763,166.4572,197787,18280,79000,271030
New Zealand,Wellington,-41.2866,174.7756,411346,263310,2371800,5122600
Nicaragua,Managua,12.1328,-86.2504,1047923,120340,1789684,6850540
Niger,Niamey,13.5137,2.1098,1213781,1266700,3497431,25252722
Nigeria,Abuja,9.0574,7.4898,2918518,910770,44928342,213401323
Niue,Alofi,-19.0585,-169.9213,727,261,4826,1626
Northern Mariana Islands,Saipan,15.2123,145.7545,50568,460,8702,49481
Norway,Oslo,59.9127,10.7461,1012225,365107.84375,3581239,5408320
Oman,Masqat (Muscat),23.6139,58.5922,1446563,309500,536553,4520471
Pakistan,Islamabad,33.7035,73.0594,1061412,770880,45954226,231402117
Palau,Koror,7.3426,134.4789,11410,460,9446,18024
Panama,Ciudad de Panamá (Panama City),8.9958,-79.5196,1783490,74177,1126989,4351267
Papua New Guinea,Port Moresby,-9.4431,147.1797,366862,452860,1985666,9949437
Paraguay,Asunción,-25.3007,-57.6359,3222199,397300,1894829,6703799
Peru,Lima,-12.0432,-77.0282,10390607,1280000,10172207,33715471
Philippines,Manila,14.6042,120.9822,13482468,298170,28486871,113880328
Poland,Warszawa (Warsaw),52.2298,21.0118,1767798,306170,29637450,37747124
Portugal,Lisboa (Lisbon),38.7169,-9.1399,2927316,91605.6015625,8857716,10325147
Puerto Rico,San Juan,18.4663,-66.1057,2454337,8870,2358000,3263584
Qatar,Ad-Dawhah (Doha),25.2747,51.5245,633401,11490,36385,2688235
South Korea,Seoul,37.5683,126.9778,9963497,97520,25012374,51744876
Moldova,Chişinău,47.0056,28.8575,509707,32885.30078125,2074015,2615199
Réunion,Saint-Denis,-20.8823,55.4504,147209,11490,36385,2688235
Romania,Bucuresti (Bucharest),44.4328,26.1043,1821380,230080,18406905,19119880
Russian Federation,Moskva (Moscow),55.755,37.6218,12409738,16376870,119897000,143449286
Rwanda,Kigali,-1.9474,30.0579,1057836,24670,2966162,13461888
Saint Helena,Jamestown,-15.9387,-5.7168,603,410,5364,6077
Saint Kitts and Nevis,Basseterre,17.2948,-62.7261,14434,260,56660,47606
Saint Lucia,Castries,14.006,-60.991,22258,610,91614,179651
Saint Pierre and Miquelon,Saint-Pierre,46.7738,-56.1815,5723,50,4135,31948
Saint Vincent and the Grenadines,Kingstown,13.1587,-61.2248,26636,390,84141,104332
Samoa,Apia,-13.8333,-171.7667,36066,2830,113335,218764
San Marino,San Marino,43.9333,12.45,4465,60,15556,33745
Sao Tome and Principe,São Tomé,0.3365,6.7273,80099,960,68038,223107
Saudi Arabia,Ar-Riyadh (Riyadh),24.6905,46.7096,6906595,2149690,4165563,35950396
Senegal,Dakar,14.6937,-17.4441,2978419,192530,3273177,16876720
Serbia,Beograd (Belgrade),44.8176,20.4633,1389351,87460,6608000,6834326
Seychelles,Victoria,-4.6167,55.45,28091,460,41700,99258
Sierra Leone,Freetown,8.484,-13.2299,1135949,72180,2301310,8420641
Singapore,Singapore,1.2897,103.8501,5791901,709,1646400,5453566
Sint Maarten (Dutch part),Philipsburg,18.026,-63.0458,40552,34,2646,42846
Slovakia,Bratislava,48.1482,17.1067,429920,48080,4068095,5447247
Slovenia,Ljubljana,46.0511,14.5051,286491,20136.400390625,1584720,2108079
Solomon Islands,Honiara,-9.4333,159.95,81801,27990,133440,707851
Somalia,Muqdisho (Mogadishu),2.0416,45.3435,2081624,627340,2870732,17065581
South Africa,Cape Town,-33.9258,18.4232,4430367,1213090,16520441,59392255
South Sudan,Juba,4.8517,31.5825,368914,631928.125,2907724,10748272
Spain,Madrid,40.4165,-3.7026,6497124,499603.46875,30455000,47415750
Sri Lanka,Colombo,6.9319,79.8478,599821,61864,9874476,22156000
State of Palestine,Al-Quds[East Jerusalem],31.7834,35.2339,275086,6020,1069320,5101414
Sudan,Al-Khartum (Khartoum),15.5518,32.5324,5534079,1849233.75,8326462,45657202
Suriname,Paramaribo,5.8664,-55.1668,239457,156000,268396,612985
Swaziland,Mbabane,-26.3167,31.1333,68010,17364,336583,1160164
Sweden,Stockholm,59.3326,18.0649,1582968,407310,7484656,10415811
Switzerland,Bern,46.9481,7.4474,422153,39516.03125,5327827,8703405
Syrian Arab Republic,Dimashq (Damascus),33.5086,36.3084,2319545,183630,4610712,21324367
Tajikistan,Dushanbe,38.5358,68.7791,872653,138790,2131992,9750064
TFYR Macedonia,Skopje,42,21.4333,584208,885800,10042458,63588334
Thailand,Krung Thep (Bangkok),13.722,100.5252,10156316,510890,26596584,71601103
Timor-Leste,Dili,-8.5601,125.5668,281135,14870,468573,1320942
Togo,Lomé,6.1375,1.2123,1745744,54390,1651367,8644829
Tokelau,Tokelau,-9.38,-171.25,0,12,1657,1357
Tonga,Nuku'alofa,-21.1394,-175.2032,22904,720,67428,106017
Trinidad and Tobago,Port of Spain,10.6662,-61.5166,544417,5130,847063,1525663
Tunisia,Tunis,36.819,10.1658,2290777,155360,4195467,12262946
Turkey,Ankara,39.9199,32.8543,4919074,769630,27510980,84775404
Turkmenistan,Ashgabat,37.95,58.3833,810186,469930,1602052,6341855
Turks and Caicos Islands,Cockburn Town,21.4612,-71.1419,5447,950,5604,45114
Tuvalu,Funafuti,-8.5189,179.1991,7042,30,5404,11204
Uganda,Kampala,0.3163,32.5822,2986352,200520,7617746,45853778
Ukraine,Kyiv (Kiev),50.4454,30.5186,2956706,579400,42767251,43792855
United Arab Emirates,Abu Zaby (Abu Dhabi),24.4648,54.3618,1419699,71020,133426,9365145
United Kingdom,London,51.5085,-0.1257,9046485,241930,52400000,67326569
Tanzania,Dodoma,-6.1722,35.7395,261645,885800,10042458,63588334
United States of America,Washington D.C.,38.8951,-77.0364,5206593,9147420,180671000,331893745
Virgin Islands (U.S.),Charlotte Amalie,18.3419,-64.9307,52322,350,32500,105870
Uruguay,Montevideo,-34.8335,-56.1674,1736989,175020,2529021,3426260
Uzbekistan,Tashkent,41.2647,69.2163,2463969,440555,8372311,34915100
Vanuatu,Port Vila,-17.7338,168.3219,52690,12190,64608,319137
Venezuela,Caracas,10.488,-66.8792,2934560,882050,8156937,28199867
Vietnam,Hà Noi,21.0245,105.8412,4282738,310070,32718461,97468029
Wallis and Futuna Islands,Matu-Utu,-13.2816,-176.1745,1025,274,32500,105870
Western Sahara,El Aaiún,27.1532,-13.2014,232388,266000,32761,4922749
Yemen,Sana'a',15.3531,44.2078,2779317,527970,5542459,32981641
Zambia,Lusaka,-15.4134,28.2771,2523844,743390,3119430,19473125
Zimbabwe,Harare,-17.8294,31.0539,1515016,386850,3806310,15993524
